1Rs-8-1|A transferência da arca para o templo
1Rs-8-22|A oração de Salomão
1Rs-8-62|A consagração do templo
1Rs-9-1|Deus fala de novo a Salomão
1Rs-9-10|Outros feitos de Salomão
1Rs-10-1|A visita da rainha de Sabá
1Rs-10-14|O esplendor de Salomão
1Rs-11-1|As mulheres de Salomão
1Rs-11-14|Os adversários de Salomão
1Rs-11-26|Jeroboão rebela-se contra Salomão
1Rs-11-41|A morte de Salomão
1Rs-12-1|Israel revolta-se contra Reboão
1Rs-12-25|Os bezerros de ouro em Betel e em Dan
1Rs-13-1|O profeta de Deus de Judá
1Rs-14-1|A profecia de Abias contra Jeroboão
1Rs-14-21|Reboão é rei de Judá
1Rs-15-1|Abião é rei de Judá
1Rs-15-9|Asa é rei de Judá
1Rs-15-25|Nadabe é rei de Israel
1Rs-15-28|Basha é rei de Israel
1Rs-16-8|Elá é rei de Israel
1Rs-16-15|Zimri é rei de Israel
1Rs-16-21|Omri é rei de Israel
1Rs-16-29|Acabe torna-se rei de Israel
1Rs-17-1|Elias é alimentado por corvos
1Rs-17-8|A viúva de Zarefate
1Rs-18-1|Elias e Obadias
1Rs-18-16|Elias no monte Carmelo
1Rs-19-1|Elias foge para Horebe
1Rs-19-9|O Senhor aparece a Elias
1Rs-19-19|A chamada de Eliseu
1Rs-20-1|Ben-Hadade ataca Samaria
1Rs-20-13|Acabe derrota Ben-Hadade
1Rs-20-35|O profeta reprova Acabe
1Rs-21-1|A vinha de Nabote
1Rs-22-1|Micaías profetiza contra Acabe
1Rs-22-29|A morte de Acabe
1Rs-22-41|O reinado de Jeosafá
2Rs-1-1|O julgamento de Deus sobre Acazias
2Rs-2-1|Elias é arrebatado
2Rs-2-19|Purificação da água
2Rs-2-23|Os rapazes fazem troça de Eliseu
2Rs-3-1|Moabe revolta
2Rs-4-1|O azeite da viúva
2Rs-4-8|A ressurreição do filho da sunamita
2Rs-4-38|O caldo verde venenoso
2Rs-4-42|Alimentando cem homens
2Rs-5-1|Naamã é curado da lepra
2Rs-6-1|Eliseu faz flutuar um ferro
2Rs-6-8|Deus cega o exército sírio
2Rs-6-24|Samaria é sitiada
2Rs-7-3|O cerco é levantado
2Rs-8-1|A terra da sunamita é restaurada
2Rs-8-7|Hazael mata Ben-Hadade
2Rs-8-16|Jeorão é rei de Judá
